blue-red alternate
trial,start_time,rt,correct,alpha,bgcol,fact_id,question,answer,priora
62,727348.0,2185.0,True,0.48862926136363605,"rgb(255,28,28)",6,mshoni,tailor,0.291363636363636
63,733017.0,3086.0,True,0.268636363636363,"rgb(198,198,255)",20,nanga,anchor,0.268636363636363
64,750541.0,2119.0,True,0.141363636363636,"rgb(29,29,255)",21,yai,egg,0.141363636363636
65,756107.0,2923.0,True,0.268636363636363,"rgb(198,198,255)",20,nanga,anchor,0.268636363636363
66,762220.0,inf,False,0.186818181818181,"rgb(85,85,255)",19,sumu,poison,0.186818181818181
67,788214.0,inf,True,0.22357244318181804,"rgb(142,142,255)",15,mfupa,bone,0.273181818181818
68,802547.0,2898.0,True,0.30730823863636303,"rgb(255,255,255)",20,nanga,anchor,0.268636363636363
69,808729.0,9157.0,True,0.277727272727272,"rgb(198,198,255)",22,rushwa,bribe,0.277727272727272
70,823532.0,1560.0,True,0.46480113636363607,"rgb(255,28,28)",6,mshoni,tailor,0.291363636363636
71,828516.0,1851.0,True,0.277727272727272,"rgb(198,198,255)",22,rushwa,bribe,0.277727272727272
72,835217.0,3765.0,True,0.228117897727272,"rgb(142,142,255)",17,jibini,cheese,0.277727272727272
73,842258.0,4404.0,True,0.356917613636363,"rgb(255,197,197)",20,nanga,anchor,0.268636363636363
74,849851.0,8489.0,True,0.286818181818181,"rgb(255,255,255)",23,lawama,blame,0.286818181818181
75,873409.0,1594.0,True,0.268636363636363,"rgb(198,198,255)",14,paji,forehead,0.268636363636363
76,878826.0,1569.0,True,0.286818181818181,"rgb(255,255,255)",23,lawama,blame,0.286818181818181
77,884103.0,2305.0,True,0.237208806818181,"rgb(198,198,255)",18,hadithi,story,0.286818181818181
78,889588.0,2670.0,True,0.3311718749999999,"rgb(255,197,197)",2,ubini,forgery,0.305
79,896968.0,3002.0,True,0.367961647727272,"rgb(255,141,141)",5,yamini,oath,0.277727272727272
80,903055.0,3260.0,True,0.19629971590908998,"rgb(142,142,255)",13,pafu,lung,0.24590909090909
81,909686.0,3670.0,True,0.23642755681818098,"rgb(198,198,255)",19,sumu,poison,0.186818181818181
82,917152.0,1439.0,True,0.463629261363636,"rgb(255,28,28)",6,mshoni,tailor,0.291363636363636
83,921671.0,1978.0,True,0.2731818181818181,"rgb(198,198,255)",15,mfupa,bone,0.273181818181818
84,927090.0,inf,True,0.358870738636363,"rgb(255,197,197)",20,nanga,anchor,0.268636363636363
85,937837.0,11512.0,False,0.187208806818181,"rgb(85,85,255)",9,ziwa,lake,0.236818181818181
86,952086.0,7557.0,True,0.27932528409090907,"rgb(255,255,255)",8,fumbo,mystery,0.264090909090909
87,965827.0,1585.0,True,0.27772727272727205,"rgb(198,198,255)",17,jibini,cheese,0.277727272727272
88,970641.0,2199.0,True,0.3091193181818179,"rgb(255,255,255)",7,tumbili,monkey,0.223181818181818
89,976107.0,inf,False,0.17811789772727202,"rgb(85,85,255)",1,sala,prayer,0.227727272727272
90,997247.0,2197.0,True,0.173572443181818,"rgb(85,85,255)",3,theluji,snow,0.223181818181818
91,1004142.0,6840.0,True,0.20539062500000002,"rgb(142,142,255)",16,jani,leaf,0.255

