id,start_time,rt,correct,alpha,fact_id,question,answer,priora,pt
1,39896.88150002621,3080.277399974875,True,0.132272727272727,iktisadi,economy,4,0.132272727272727,1
2,45427.507899934426,1199.1396000375971,True,0.227727272727272,rafiki,friend,12,0.227727272727272,1
3,48859.871799941175,1737.2494000010192,True,0.29136363636363605,mshoni,tailor,6,0.291363636363636,1
4,53147.35460001975,1288.0569999106228,True,0.3470099431818179,tumbili,monkey,7,0.22318181818181798,1
5,56282.96789992601,1440.5835000798106,True,0.47541903409090897,fumbo,mystery,8,0.264090909090909,1
6,60158.03980000783,2950.9258000180125,True,0.5499218750000002,ubini,forgery,2,0.305,1
7,64947.27949996013,5851.455900003202,True,0.221370738636363,paji,forehead,14,0.268636363636363,1
8,72988.08259994257,1393.098600092344,True,0.055,mbwa,dog,10,0.055,1
9,76059.71709999721,2623.589299968444,True,0.28681818181818103,hadithi,story,18,0.28681818181818103,1
10,81607.3119000066,1563.8422999763861,True,0.18720880681818103,ziwa,lake,9,0.236818181818181,1
11,84391.10559993424,9004.232500097714,True,0.255,jani,leaf,16,0.255,1
12,94803.43460000586,6915.424900013022,True,0.27318181818181797,mfupa,bone,15,0.27318181818181797,1
13,103366.42029997893,2614.9335999507457,True,0.28965909090909003,pafu,lung,13,0.24590909090909,1
14,107589.59500002675,2367.1672999626026,True,0.491931818181818,theluji,snow,3,0.22318181818181798,1
15,111640.86349995341,3447.0947000663728,True,0.277336647727272,sala,prayer,1,0.227727272727272,1
16,117074.79680003598,8849.433199968189,True,0.18681818181818102,sumu,poison,19,0.18681818181818102,1
17,127719.72039993852,1813.7964000925422,True,0.5648366477272719,yamini,oath,5,0.277727272727272,1
18,132062.23719997797,1731.674600043334,True,0.327336647727272,jibini,cheese,17,0.277727272727272,1
19,135781.6988999257,1895.5457000993192,True,0.18681818181818102,nyanya,tomato,11,0.18681818181818102,1

20,139911.34879994206,1620.5773000838235,True,0.255,jani,leaf,16,0.255,2
21,143802.70120000932,1631.5997999627143,True,0.28965909090909003,pafu,lung,13,0.24590909090909,2
22,147009.63149999734,1396.1515999399126,True,0.29136363636363605,mshoni,tailor,6,0.291363636363636,2
23,150679.56960003357,1253.634599968791,True,0.277336647727272,sala,prayer,1,0.227727272727272,2
24,153931.05060001835,1106.6614999435842,True,0.18681818181818102,nyanya,tomato,11,0.18681818181818102,2
25,157010.9646000201,1225.506699993275,True,0.055,mbwa,dog,10,0.055,2
26,159561.8744000094,3935.274999937974,True,0.5499218750000002,ubini,forgery,2,0.305,2
27,165591.74559998792,2583.267100038938,True,0.28681818181818103,hadithi,story,18,0.28681818181818103,2
28,170164.7662000032,913.2453999482095,True,0.227727272727272,rafiki,friend,12,0.227727272727272,2
29,173542.99789993092,1435.5935000348836,True,0.47541903409090897,fumbo,mystery,8,0.264090909090909,2
30,176729.41919998266,1168.091999948956,True,0.3470099431818179,tumbili,monkey,7,0.22318181818181798,2
31,180924.66439993586,1224.587200093083,True,0.327336647727272,jibini,cheese,17,0.277727272727272,2
32,183648.25389999896,2433.1295000156388,True,0.132272727272727,iktisadi,economy,4,0.132272727272727,2
33,188073.46099999268,inf,True,0.221370738636363,paji,forehead,14,0.268636363636363,2
34,197731.35919997003,1498.2207999564707,True,0.18720880681818103,ziwa,lake,9,0.236818181818181,2
35,200285.55219992995,3303.2563000451773,True,0.27318181818181797,mfupa,bone,15,0.27318181818181797,2
36,205364.89630001597,1321.003699908033,True,0.491931818181818,theluji,snow,3,0.22318181818181798,2
37,208880.32260001637,1696.4654999319464,True,0.18681818181818102,sumu,poison,19,0.18681818181818102,2
38,212216.67849994265,1376.0838999878615,True,0.5648366477272719,yamini,oath,5,0.277727272727272,2

