trial,start_time,rt,correct,alpha,fact_id,question,answer,priora,colour
76,543980.0,1620.0,True,0.214090909090909,24,rembo,ornament,0.214090909090909,purple
77,549960.0,1160.0,True,0.3860369318181809,23,lawama,blame,0.286818181818181,green
78,554154.0,1138.0,False,0.26409090909090904,8,fumbo,mystery,0.264090909090909,pink
79,558571.0,5304.0,True,0.37694602272727196,22,rushwa,bribe,0.277727272727272,blue
80,566923.0,3276.0,True,0.30311789772727205,5,yamini,oath,0.277727272727272,grey
81,573155.0,2315.0,False,0.214090909090909,24,rembo,ornament,0.214090909090909,purple
82,578967.0,inf,True,0.228117897727272,17,jibini,cheese,0.277727272727272,yellow
83,584812.0,1107.0,False,0.4265553977272719,22,rushwa,bribe,0.277727272727272,blue
84,588827.0,1657.0,True,0.4503124999999999,2,ubini,forgery,0.305,blue
85,594413.0,1286.0,True,0.218636363636363,25,pipa,barrel,0.218636363636363,grey
86,599245.0,1044.0,False,0.47616477272727187,22,rushwa,bribe,0.277727272727272,blue
87,604575.0,1424.0,True,0.3856463068181809,23,lawama,blame,0.286818181818181,green
88,608904.0,1371.0,True,0.209545454545454,26,farasi,horse,0.209545454545454,violet
89,613612.0,1198.0,True,0.5179616477272719,22,rushwa,bribe,0.277727272727272,blue
90,618238.0,5742.0,False,0.218636363636363,25,pipa,barrel,0.218636363636363,grey
91,626362.0,1583.0,True,0.352727272727272,5,yamini,oath,0.277727272727272,grey
92,630970.0,2227.0,True,0.27353693181818095,18,hadithi,story,0.286818181818181,pink
93,636483.0,1342.0,True,0.517571022727272,22,rushwa,bribe,0.277727272727272,blue
94,640776.0,inf,True,0.209545454545454,26,farasi,horse,0.209545454545454,violet
95,651632.0,1828.0,True,0.268636363636363,14,paji,forehead,0.268636363636363,purple
96,658024.0,inf,True,0.23642755681818098,19,sumu,poison,0.186818181818181,cyan
97,665244.0,1225.0,False,0.26370028409090895,24,rembo,ornament,0.214090909090909,purple
98,669561.0,1238.0,True,0.517180397727272,22,rushwa,bribe,0.277727272727272,blue
99,674418.0,1757.0,True,0.4499218749999999,2,ubini,forgery,0.305,blue
100,679552.0,2007.0,True,0.19629971590908998,13,pafu,lung,0.24590909090909,green
101,684895.0,4618.0,False,0.20539062500000002,16,jani,leaf,0.255,violet
102,691901.0,1551.0,True,0.187208806818181,9,ziwa,lake,0.236818181818181,cyan
103,696047.0,1260.0,True,0.27772727272727205,17,jibini,cheese,0.277727272727272,yellow
104,700220.0,2953.0,False,0.26824573863636303,25,pipa,barrel,0.218636363636363,grey
