id,start_time,rt,correct,alpha,fact_id,question,answer,priora,colour,pt
1,18625.285999965854,2678.019200102426,True,0.3758096590909089,24,rembo,ornament,0.214090909090909,NA,0
2,24345.645800000057,11825.734999962151,False,0.3947372159090899,27,ladha,flavor,0.29590909090909007,NA,0
3,36540.99500004668,1374.9942999565974,True,0.17357244318181797,3,theluji,snow,0.22318181818181798,NA,0
4,38810.742100002244,1571.9721000641584,False,0.23880681818181798,15,mfupa,bone,0.27318181818181797,NA,0
5,41719.13260000292,4535.285199992359,True,0.132272727272727,4,iktisadi,economy,0.132272727272727,NA,0
6,48046.42150003929,3539.3733999226242,True,0.18681818181818102,11,nyanya,tomato,0.18681818181818102,NA,0
7,55219.17539997958,1369.7790000587702,True,0.19629971590909,13,pafu,lung,0.24590909090909,NA,0
8,57760.751600028016,1769.6477000135928,True,0.11409090909090899,30,wingu,cloud,0.11409090909090899,NA,0
9,60640.57260006666,1644.478700007312,True,0.32825994318181795,7,tumbili,monkey,0.22318181818181798,NA,0
10,63779.17420002632,1313.6624000035226,True,0.3360369318181809,23,lawama,blame,0.28681818181818103,NA,0
11,66050.67600007169,2695.030399947427,True,0.27772727272727205,17,jibini,cheese,0.277727272727272,NA,0
12,70214.52779998071,5583.469400065951,True,0.29573153409090897,8,fumbo,mystery,0.264090909090909,NA,0
13,81263.90140003059,1202.9928000411019,True,0.227727272727272,12,rafiki,friend,0.227727272727272,NA,0
14,84803.24490007479,3317.5285999896005,False,0.4499218749999999,2,ubini,forgery,0.305,NA,0
15,95002.01689999085,1364.478199975565,True,0.2527272727272719,1,sala,prayer,0.227727272727272,NA,0
16,100388.97970004473,1420.0978999724612,True,0.055,10,mbwa,dog,0.055,NA,0
17,102742.44090006687,1683.8599999900907,True,0.4675710227272721,22,rushwa,bribe,0.277727272727272,NA,0
18,106083.39000004344,1538.5382999666035,True,0.35272727272727206,5,yamini,oath,0.277727272727272,NA,0
19,109067.72080005612,1292.5435999641195,True,0.255,16,jani,leaf,0.255,NA,0
20,111452.35490007326,2751.0286999167874,True,0.30730823863636303,20,nanga,anchor,0.268636363636363,NA,0
21,116008.06350004859,2154.2748999781907,True,0.141363636363636,21,yai,egg,0.141363636363636,NA,0
22,119687.0356000727,1281.3153999159113,True,0.18720880681818103,9,ziwa,lake,0.236818181818181,NA,0
23,121806.0554000549,17041.671699960716,False,0.19590909090909,29,roho,soul,0.19590909090909,NA,0
24,142782.4874999933,2213.2471000077203,True,0.268636363636363,14,paji,forehead,0.268636363636363,NA,0
25,147900.51750000566,8208.415000000969,False,0.4503480113636359,6,mshoni,tailor,0.291363636363636,NA,0
26,159983.8635000633,3671.5271999128163,True,0.380355113636363,25,pipa,barrel,0.218636363636363,NA,0
27,165153.17459998187,1944.0061000641435,True,0.2735369318181809,18,hadithi,story,0.28681818181818103,NA,0
28,168323.86360003147,1513.4714000159875,True,0.30876420454545395,26,farasi,horse,0.20954545454545398,NA,0
29,170925.995000056,3775.098399957642,True,0.286036931818181,19,sumu,poison,0.18681818181818102,NA,0
30,176926.09780002385,4977.914400049485,False,0.25954545454545397,31,nira,yoke,0.25954545454545397,NA,0
31,182320.70250005927,2636.314900009893,True,0.31824573863636296,28,bandari,harbor,0.268636363636363,NA,0

32,186926.55139998533,8457.69090007525,True,0.268636363636363,14,paji,forehead,0.268636363636363,purple,1
33,198239.91470003966,1116.9262999901548,True,0.286036931818181,19,sumu,poison,0.18681818181818102,cyan,1
34,202255.2096999716,2535.302500007674,False,0.19590909090909,29,roho,soul,0.19590909090909,cyan,1
35,205121.87889998313,1001.2712000170723,True,0.18681818181818102,11,nyanya,tomato,0.18681818181818102,red,1
36,207414.2374000512,1117.0598999597132,True,0.255,16,jani,leaf,0.255,violet,1
37,209596.31559997797,1432.2209000820294,True,0.2735369318181809,18,hadithi,story,0.28681818181818103,pink,1
38,213357.43970004842,1705.2557999268174,True,0.141363636363636,21,yai,egg,0.141363636363636,red,1
39,215853.59880002216,1164.6093999734148,True,0.19629971590909,13,pafu,lung,0.24590909090909,green,1
40,218015.1468999684,2870.0746000977233,False,0.3947372159090899,27,ladha,flavor,0.29590909090909007,yellow,1
41,222793.81960001774,1256.4464999595657,True,0.132272727272727,4,iktisadi,economy,0.132272727272727,purple,1
42,226049.40390004776,1009.449000004679,True,0.055,10,mbwa,dog,0.055,orange,1
43,227771.53899997938,3526.0381000116467,False,0.25954545454545397,31,nira,yoke,0.25954545454545397,red,1
44,231641.28870004788,1899.8549999669194,True,0.17357244318181797,3,theluji,snow,0.22318181818181798,green,1
45,234333.36869999766,1300.199200049974,True,0.32825994318181795,7,tumbili,monkey,0.22318181818181798,yellow,1
46,237297.26010002196,1315.713300020434,True,0.31824573863636296,28,bandari,harbor,0.268636363636363,pink,1
47,239871.53660005424,1385.7181000057608,True,0.3360369318181809,23,lawama,blame,0.28681818181818103,green,1
48,243653.3003000077,1907.2802000446245,True,0.27772727272727205,17,jibini,cheese,0.277727272727272,yellow,1
49,246702.75669998955,1438.7468000641093,True,0.4503480113636359,6,mshoni,tailor,0.291363636363636,violet,1
50,250367.901599966,2028.5502000479028,True,0.3758096590909089,24,rembo,ornament,0.214090909090909,purple,1
51,253895.47830005176,1560.29509997461,True,0.30730823863636303,20,nanga,anchor,0.268636363636363,orange,1
52,256524.50439997483,inf,True,0.29573153409090897,8,fumbo,mystery,0.264090909090909,pink,1
53,262613.1306999596,4315.402100095525,False,0.4675710227272721,22,rushwa,bribe,0.277727272727272,blue,1
