id,start_time,rt,correct,alpha,fact_id,question,answer,priora,pt
1,40660.08420009166,2780.371099943295,True,0.27772727272727205,rushwa,bribe,22,0.277727272727272,1
2,44673.571999999695,1083.9924000902101,True,0.28681818181818103,hadithi,story,18,0.28681818181818103,1
3,47108.54640009347,1552.4900999153033,True,0.268636363636363,nanga,anchor,20,0.268636363636363,1
4,50022.79090008233,4188.3111000061035,True,0.24590909090909,pafu,lung,13,0.24590909090909,1
5,55310.89930003509,1086.8999999947846,True,0.36707386363636296,paji,forehead,14,0.268636363636363,1
6,58048.69339999277,2058.023800025694,True,0.4441335227272719,yamini,oath,5,0.277727272727272,1
7,61220.24100006092,1012.1020999504253,True,0.17811789772727202,sala,prayer,1,0.227727272727272,1
8,63539.503999985754,1179.9829000374302,True,0.255,jani,leaf,16,0.255,1
9,66069.07780002803,4151.709700003266,True,0.4034374999999999,ubini,forgery,2,0.305,1
10,72058.13370004762,2113.061900017783,True,0.22318181818181798,tumbili,monkey,7,0.22318181818181798,1
11,75684.28540008608,17303.748399950564,False,0.31689630681818104,sumu,poison,19,0.18681818181818102,1
12,94295.67230003886,6427.6853000046685,True,0.2637002840909089,rembo,ornament,24,0.214090909090909,1
13,102397.85670000128,1188.155799987726,True,0.227727272727272,rafiki,friend,12,0.227727272727272,1
14,105239.17190008797,4163.3182999212295,True,0.29136363636363605,mshoni,tailor,6,0.291363636363636,1
15,111190.91480004136,2158.530500018969,True,0.351306818181818,mfupa,bone,15,0.27318181818181797,1
16,114225.36590008531,1834.4576999079436,True,0.17357244318181797,theluji,snow,3,0.22318181818181798,1
17,116932.7718000859,1395.8916999399662,True,0.28681818181818103,lawama,blame,23,0.28681818181818103,1
18,119351.731200004,4831.512100063264,True,0.22811789772727198,jibini,cheese,17,0.277727272727272,1
19,125367.47040005866,1355.771700036712,True,0.132272727272727,iktisadi,economy,4,0.132272727272727,1
20,128727.5977000827,1224.4385000085458,True,0.218636363636363,pipa,barrel,25,0.218636363636363,1
21,131341.5190000087,2065.7805000664666,True,0.20954545454545398,farasi,horse,26,0.20954545454545398,1
22,134529.69570003916,905.7669000467286,True,0.141363636363636,yai,egg,21,0.141363636363636,1
23,136252.31700006407,6410.418799961917,True,0.355106534090909,fumbo,mystery,8,0.264090909090909,1
24,146823.25780007523,1170.311399968341,True,0.18720880681818103,ziwa,lake,9,0.236818181818181,1
25,149094.65590002947,10791.654400061816,False,0.29590909090909007,ladha,flavor,27,0.29590909090909007,1
26,163400.62780003063,1588.5422000428662,True,0.055,mbwa,dog,10,0.055,1
27,165776.68020001147,1777.804300072603,True,0.28564630681818104,nyanya,tomato,11,0.18681818181818102,1

28,169270.68690001033,4798.274400061928,False,0.31689630681818104,sumu,poison,19,0.18681818181818102,2
29,176281.1367000686,934.77479997091,True,0.18720880681818103,ziwa,lake,9,0.236818181818181,2
30,177999.41520008724,1038.5071999626234,True,0.132272727272727,iktisadi,economy,4,0.132272727272727,2
31,181178.87190007605,1178.6174000008032,True,0.218636363636363,pipa,barrel,25,0.218636363636363,2
32,183603.0277000973,5466.063499916345,True,0.2637002840909089,rembo,ornament,24,0.214090909090909,2
33,191909.28090002853,1906.9837999995798,False,0.29590909090909007,ladha,flavor,27,0.29590909090909007,2
34,196217.29530009907,1686.712099937722,True,0.28564630681818104,nyanya,tomato,11,0.18681818181818102,2
35,199408.23490009643,1739.589599892497,True,0.28681818181818103,hadithi,story,18,0.28681818181818103,2
36,203243.82020009216,1077.2495999699458,True,0.20954545454545398,farasi,horse,26,0.20954545454545398,2
37,205275.6046000868,8173.4962000045925,True,0.36707386363636296,paji,forehead,14,0.268636363636363,2
38,214740.86400005035,901.9069999922067,True,0.255,jani,leaf,16,0.255,2
39,216781.56400006264,1234.1112999711186,True,0.351306818181818,mfupa,bone,15,0.27318181818181797,2
40,219605.5226000026,3555.3032000316307,True,0.355106534090909,fumbo,mystery,8,0.264090909090909,2
41,224983.7070000358,1910.159599967301,True,0.27772727272727205,rushwa,bribe,22,0.277727272727272,2
42,228560.29709998984,899.7425000416115,True,0.141363636363636,yai,egg,21,0.141363636363636,2
43,230185.25149999186,1262.6074000727385,True,0.268636363636363,nanga,anchor,20,0.268636363636363,2
44,232467.2010000795,1102.364799939096,True,0.17357244318181797,theluji,snow,3,0.22318181818181798,2
45,234342.80920005403,2118.4782999334857,True,0.055,mbwa,dog,10,0.055,2
46,237664.79150007945,6691.476100008003,True,0.4034374999999999,ubini,forgery,2,0.305,2
47,245784.40200001933,996.0665999678895,True,0.227727272727272,rafiki,friend,12,0.227727272727272,2
48,249208.52320000995,4032.652100082487,True,0.24590909090909,pafu,lung,13,0.24590909090909,2
49,254174.18339999858,923.6611000960693,True,0.17811789772727202,sala,prayer,1,0.227727272727272,2
50,256188.38890001643,7173.568199970759,True,0.4441335227272719,yamini,oath,5,0.277727272727272,2
51,265135.6695999857,1432.341800071299,True,0.29136363636363605,mshoni,tailor,6,0.291363636363636,2
52,267850.44650000054,1147.194700082764,True,0.22318181818181798,tumbili,monkey,7,0.22318181818181798,2
53,272818.47260007635,2704.1382999159396,True,0.22811789772727198,jibini,cheese,17,0.277727272727272,2
54,277334.0827000793,2001.5490999212489,True,0.28681818181818103,lawama,blame,23,0.28681818181818103,2

