green-red
trial,start_time,rt,correct,alpha,bgcol,fact_id,question,answer,priora
1,20020.0,6285.0,True,0.227727272727272,"rgb(142,255,0)",1,sala,prayer,0.227727272727272
2,43317.0,1756.0,True,0.227727272727272,"rgb(142,255,0)",1,sala,prayer,0.227727272727272
3,48983.0,6705.0,False,0.305,"rgb(255,255,0)",2,ubini,forgery,0.305
4,71489.0,1404.0,True,0.305,"rgb(255,255,0)",2,ubini,forgery,0.305
5,76791.0,inf,True,0.223181818181818,"rgb(142,255,0)",3,theluji,snow,0.223181818181818
6,89061.0,inf,True,0.132272727272727,"rgb(29,255,0)",4,iktisadi,economy,0.132272727272727
7,108302.0,5428.0,True,0.223181818181818,"rgb(142,255,0)",3,theluji,snow,0.223181818181818
8,116814.0,inf,True,0.277727272727272,"rgb(198,255,0)",5,yamini,oath,0.277727272727272
9,129659.0,1666.0,True,0.291363636363636,"rgb(255,255,0)",6,mshoni,tailor,0.291363636363636
10,138983.0,2179.0,False,0.277727272727272,"rgb(198,255,0)",5,yamini,oath,0.277727272727272
11,144732.0,22.0,False,0.291363636363636,"rgb(255,255,0)",6,mshoni,tailor,0.291363636363636
12,146977.0,inf,True,0.223181818181818,"rgb(142,255,0)",7,tumbili,monkey,0.223181818181818
13,166335.0,1706.0,True,0.264090909090909,"rgb(198,255,0)",8,fumbo,mystery,0.264090909090909
14,177415.0,inf,False,0.340973011363636,"rgb(255,197,0)",6,mshoni,tailor,0.291363636363636
15,186851.0,inf,False,0.264090909090909,"rgb(198,255,0)",8,fumbo,mystery,0.264090909090909
16,198906.0,6401.0,False,0.327336647727272,"rgb(255,197,0)",5,yamini,oath,0.277727272727272
17,211911.0,2303.0,False,0.223181818181818,"rgb(142,255,0)",7,tumbili,monkey,0.223181818181818
18,218346.0,3749.0,False,0.39058238636363596,"rgb(255,141,0)",6,mshoni,tailor,0.291363636363636
19,226618.0,4326.0,False,0.272791193181818,"rgb(198,255,0)",3,theluji,snow,0.223181818181818
