id,start_time,rt,correct,alpha,bgcol,fact_id,question,answer,priora,pt
1,33378.61549993977,3920.98120006267,False,0.24590909090909,NA,13,pafu,lung,0.24590909090909,0
2,39501.345700002275,inf,False,0.286036931818181,NA,11,nyanya,tomato,0.18681818181818102,0
3,48890.26270003524,7735.887699993327,True,0.5809943181818179,NA,7,tumbili,monkey,0.22318181818181798,0
4,59340.12409998104,3619.7122000157833,True,0.236818181818181,NA,9,ziwa,lake,0.236818181818181,0
5,66391.14459999837,9510.486299986951,False,0.132272727272727,NA,4,iktisadi,economy,0.132272727272727,0
6,79682.95599997509,8734.229100053199,False,0.35468039772727206,NA,5,yamini,oath,0.277727272727272,0
7,91345.80899996217,inf,True,0.431207386363636,NA,6,mshoni,tailor,0.291363636363636,0
8,111833.11000000685,8594.954999978654,True,0.227727272727272,NA,12,rafiki,friend,0.227727272727272,0
9,123544.38490001485,1604.8601999646053,False,0.268636363636363,NA,14,paji,forehead,0.268636363636363,0
10,126234.58099993877,6152.5920000858605,False,0.27318181818181797,NA,15,mfupa,bone,0.27318181818181797,0
11,134293.0588000454,3810.263399966061,False,0.277727272727272,NA,17,jibini,cheese,0.277727272727272,0
12,141557.9780000262,6675.3873999696225,False,0.28681818181818103,NA,18,hadithi,story,0.28681818181818103,0
13,150795.18030001782,1692.152899922803,True,0.055,NA,10,mbwa,dog,0.055,0
14,153652.6854999829,5072.026500012726,False,0.4694531250000002,NA,2,ubini,forgery,0.305,0
15,160371.23719998635,2659.013499971479,True,0.22318181818181798,NA,3,theluji,snow,0.22318181818181798,0
16,164434.24690002576,2223.400600021705,True,0.304609375,NA,16,jani,leaf,0.255,0
17,167908.4889999358,5477.009100024588,False,0.468778409090909,NA,8,fumbo,mystery,0.264090909090909,0
18,175046.47780000232,1718.7220000196248,True,0.227727272727272,NA,1,sala,prayer,0.227727272727272,0

19,178596.93809994496,7352.95720002614,True,0.304609375,"rgb(255,255,0)",16,jani,leaf,0.255,1
20,190518.907199963,6013.469700003043,False,0.286036931818181,"rgb(255,255,0)",11,nyanya,tomato,0.18681818181818102,1
21,198854.29079993628,inf,False,0.268636363636363,"rgb(198,255,0)",14,paji,forehead,0.268636363636363,1
22,209827.22560002003,5605.92809994705,False,0.24590909090909,"rgb(198,255,0)",13,pafu,lung,0.24590909090909,1
23,217295.82440003287,4768.15329992678,False,0.132272727272727,"rgb(29,255,0)",4,iktisadi,economy,0.132272727272727,1
24,226326.8240999896,9393.0780000519,False,0.431207386363636,"rgb(255,84,0)",6,mshoni,tailor,0.291363636363636,1
25,237662.0746999979,5945.652200025506,True,0.4694531250000002,"rgb(255,28,0)",2,ubini,forgery,0.305,1
26,247272.68449997064,3273.47929996904,False,0.35468039772727206,"rgb(255,197,0)",5,yamini,oath,0.277727272727272,1
27,257445.59799996205,inf,False,0.27318181818181797,"rgb(198,255,0)",15,mfupa,bone,0.27318181818181797,1
28,267487.32900002506,3556.954599916935,True,0.227727272727272,"rgb(142,255,0)",12,rafiki,friend,0.227727272727272,1
29,272530.379200005,10202.263699960895,False,0.5809943181818179,"rgb(255,28,0)",7,tumbili,monkey,0.22318181818181798,1
30,284143.7326000305,4843.943499960005,False,0.468778409090909,"rgb(255,28,0)",8,fumbo,mystery,0.264090909090909,1
31,291021.3760000188,1921.6153000015765,False,0.28681818181818103,"rgb(255,255,0)",18,hadithi,story,0.28681818181818103,1
32,295997.1958999522,8676.382100093178,False,0.22318181818181798,"rgb(142,255,0)",3,theluji,snow,0.22318181818181798,1
33,307334.3655000208,1737.3804999515414,True,0.055,"rgb(29,255,0)",10,mbwa,dog,0.055,1
34,310065.2876000386,2510.7193998992443,False,0.277727272727272,"rgb(198,255,0)",17,jibini,cheese,0.277727272727272,1
35,314778.16560002975,4941.388099920005,False,0.236818181818181,"rgb(198,255,0)",9,ziwa,lake,0.236818181818181,1
36,320834.1737999581,1375.881600077264,True,0.227727272727272,"rgb(142,255,0)",1,sala,prayer,0.227727272727272,1

