trial,start_time,rt,correct,alpha,fact_id,question,answer,priora
1,15655.0,13960.0,True,0.227727272727272,1,sala,prayer,0.227727272727272
2,35459.0,3279.0,True,0.227727272727272,1,sala,prayer,0.227727272727272
3,43125.0,6184.0,True,0.305,2,ubini,forgery,0.305
4,57068.0,979.0,True,0.305,2,ubini,forgery,0.305
5,62935.0,3051.0,True,0.223181818181818,3,theluji,snow,0.223181818181818
6,69836.0,3594.0,True,0.132272727272727,4,iktisadi,economy,0.132272727272727
7,78160.0,3967.0,True,0.277727272727272,5,yamini,oath,0.277727272727272
8,86893.0,2786.0,True,0.223181818181818,3,theluji,snow,0.223181818181818
9,93718.0,6688.0,False,0.277727272727272,5,yamini,oath,0.277727272727272
10,104070.0,1777.0,True,0.27733664772727196,1,sala,prayer,0.227727272727272
11,109447.0,5045.0,True,0.291363636363636,6,mshoni,tailor,0.291363636363636
12,118877.0,2873.0,True,0.223181818181818,7,tumbili,monkey,0.223181818181818
13,125812.0,1592.0,True,0.291363636363636,6,mshoni,tailor,0.291363636363636
14,131199.0,2398.0,True,0.327336647727272,5,yamini,oath,0.277727272727272
15,137699.0,3347.0,True,0.264090909090909,8,fumbo,mystery,0.264090909090909
16,144990.0,3344.0,True,0.223181818181818,7,tumbili,monkey,0.223181818181818
17,152166.0,inf,False,0.264090909090909,8,fumbo,mystery,0.264090909090909
18,165210.0,2452.0,False,0.272791193181818,3,theluji,snow,0.223181818181818
19,173528.0,inf,False,0.255390625,2,ubini,forgery,0.305
20,193590.0,3373.0,True,0.313700284090909,8,fumbo,mystery,0.264090909090909
21,201227.0,3144.0,True,0.236818181818181,9,ziwa,lake,0.236818181818181
22,207606.0,inf,False,0.32616477272727196,5,yamini,oath,0.277727272727272
23,215860.0,1885.0,True,0.236818181818181,9,ziwa,lake,0.236818181818181
24,220879.0,inf,True,0.272791193181818,7,tumbili,monkey,0.223181818181818
25,227503.0,13160.0,False,0.32240056818181795,3,theluji,snow,0.223181818181818
26,244669.0,3275.0,True,0.36330965909090895,8,fumbo,mystery,0.264090909090909
27,251741.0,2551.0,True,0.3757741477272719,5,yamini,oath,0.277727272727272
28,257510.0,12641.0,True,0.30499999999999994,2,ubini,forgery,0.305
29,276199.0,inf,True,0.4129190340909089,8,fumbo,mystery,0.264090909090909
30,285852.0,2668.0,True,0.3720099431818179,3,theluji,snow,0.223181818181818
31,292751.0,4971.0,False,0.42538352272727187,5,yamini,oath,0.277727272727272
32,302458.0,inf,False,0.32240056818181795,7,tumbili,monkey,0.223181818181818
33,316230.0,5354.0,False,0.241754261363636,6,mshoni,tailor,0.291363636363636
34,325694.0,3114.0,True,0.42737215909090887,8,fumbo,mystery,0.264090909090909
35,335483.0,2623.0,False,0.3546093749999999,2,ubini,forgery,0.305
36,341912.0,3291.0,True,0.43358664772727185,5,yamini,oath,0.277727272727272
37,352021.0,1633.0,True,0.3720099431818179,7,tumbili,monkey,0.223181818181818
38,357408.0,2959.0,False,0.4519815340909089,8,fumbo,mystery,0.264090909090909
39,364469.0,4827.0,False,0.37865056818181786,3,theluji,snow,0.223181818181818
40,374178.0,2722.0,True,0.055,10,mbwa,dog,0.055
41,380112.0,2936.0,True,0.186818181818181,11,nyanya,tomato,0.186818181818181
42,387246.0,6098.0,True,0.47659090909090895,8,fumbo,mystery,0.264090909090909
43,397121.0,5766.0,True,0.37921874999999994,2,ubini,forgery,0.305
44,406507.0,inf,True,0.526200284090909,8,fumbo,mystery,0.264090909090909
45,418538.0,2249.0,True,0.4339772727272718,5,yamini,oath,0.277727272727272
46,424505.0,1453.0,True,0.5508096590909091,8,fumbo,mystery,0.264090909090909
47,429689.0,1563.0,True,0.29136363636363605,6,mshoni,tailor,0.291363636363636
48,434900.0,1407.0,True,0.3716193181818179,7,tumbili,monkey,0.223181818181818
49,439927.0,1372.0,True,0.186818181818181,11,nyanya,tomato,0.186818181818181
50,447216.0,1311.0,True,0.5504190340909091,8,fumbo,mystery,0.264090909090909
51,452147.0,2147.0,True,0.227727272727272,12,rafiki,friend,0.227727272727272
52,461067.0,6032.0,False,0.399140625,2,ubini,forgery,0.305
53,471510.0,inf,True,0.38060369318181786,3,theluji,snow,0.223181818181818
54,483586.0,1361.0,True,0.5500284090909091,8,fumbo,mystery,0.264090909090909
55,488548.0,1210.0,True,0.227727272727272,12,rafiki,friend,0.227727272727272
56,493799.0,5044.0,True,0.43358664772727185,5,yamini,oath,0.277727272727272
57,502229.0,5200.0,True,0.132272727272727,4,iktisadi,economy,0.132272727272727
58,511337.0,2669.0,True,0.42552556818181786,3,theluji,snow,0.223181818181818
59,517298.0,2943.0,True,0.4831960227272718,5,yamini,oath,0.277727272727272
60,523569.0,2596.0,False,0.42375000000000007,2,ubini,forgery,0.305
61,529589.0,4801.0,True,0.5203053977272719,5,yamini,oath,0.277727272727272
62,538240.0,1767.0,True,0.24590909090909,13,pafu,lung,0.24590909090909
63,543731.0,3589.0,True,0.268636363636363,14,paji,forehead,0.268636363636363
