green-red
trial,start_time,rt,correct,alpha,bgcol,fact_id,question,answer,priora
1,23018.0,5178.0,True,0.227727272727272,"rgb(142,255,0)",1,sala,prayer,0.227727272727272
2,36461.0,3093.0,True,0.305,"rgb(255,255,0)",2,ubini,forgery,0.305
3,44191.0,1479.0,True,0.305,"rgb(255,255,0)",2,ubini,forgery,0.305
4,49919.0,1577.0,True,0.227727272727272,"rgb(142,255,0)",1,sala,prayer,0.227727272727272
5,55300.0,1961.0,True,0.223181818181818,"rgb(142,255,0)",3,theluji,snow,0.223181818181818
6,61685.0,2327.0,True,0.132272727272727,"rgb(29,255,0)",4,iktisadi,economy,0.132272727272727
7,68753.0,1333.0,True,0.277727272727272,"rgb(198,255,0)",5,yamini,oath,0.277727272727272
8,74190.0,1388.0,True,0.291363636363636,"rgb(255,255,0)",6,mshoni,tailor,0.291363636363636
9,80058.0,inf,False,0.277727272727272,"rgb(198,255,0)",5,yamini,oath,0.277727272727272
10,92496.0,5035.0,True,0.291363636363636,"rgb(255,255,0)",6,mshoni,tailor,0.291363636363636
11,101589.0,5776.0,False,0.223181818181818,"rgb(142,255,0)",3,theluji,snow,0.223181818181818
12,111797.0,5034.0,True,0.327336647727272,"rgb(255,197,0)",5,yamini,oath,0.277727272727272
13,120146.0,2914.0,False,0.340973011363636,"rgb(255,197,0)",6,mshoni,tailor,0.291363636363636
14,126222.0,1478.0,True,0.223181818181818,"rgb(142,255,0)",7,tumbili,monkey,0.223181818181818
15,131837.0,1521.0,True,0.264090909090909,"rgb(198,255,0)",8,fumbo,mystery,0.264090909090909
16,138330.0,1443.0,True,0.236818181818181,"rgb(198,255,0)",9,ziwa,lake,0.236818181818181
17,143173.0,1480.0,False,0.264090909090909,"rgb(198,255,0)",8,fumbo,mystery,0.264090909090909
18,148409.0,2579.0,True,0.37694602272727196,"rgb(255,141,0)",5,yamini,oath,0.277727272727272
19,154036.0,4335.0,True,0.39058238636363596,"rgb(255,141,0)",6,mshoni,tailor,0.291363636363636
20,162226.0,1249.0,False,0.223181818181818,"rgb(142,255,0)",7,tumbili,monkey,0.223181818181818
21,166840.0,2582.0,False,0.236818181818181,"rgb(198,255,0)",9,ziwa,lake,0.236818181818181
22,172800.0,1879.0,False,0.255390625,"rgb(198,255,0)",2,ubini,forgery,0.305
23,178157.0,2194.0,False,0.4265553977272719,"rgb(255,84,0)",5,yamini,oath,0.277727272727272
24,183934.0,3001.0,False,0.4401917613636359,"rgb(255,84,0)",6,mshoni,tailor,0.291363636363636
25,190456.0,inf,False,0.313700284090909,"rgb(255,255,0)",8,fumbo,mystery,0.264090909090909
26,203040.0,inf,False,0.47616477272727187,"rgb(255,28,0)",5,yamini,oath,0.277727272727272
27,214613.0,4154.0,True,0.48980113636363587,"rgb(255,28,0)",6,mshoni,tailor,0.291363636363636
28,222930.0,3022.0,False,0.272791193181818,"rgb(198,255,0)",3,theluji,snow,0.223181818181818
29,232862.0,2042.0,True,0.5132741477272719,"rgb(255,28,0)",5,yamini,oath,0.277727272727272
30,238093.0,4863.0,True,0.5144105113636359,"rgb(255,28,0)",6,mshoni,tailor,0.291363636363636
31,246609.0,2605.0,True,0.36330965909090895,"rgb(255,197,0)",8,fumbo,mystery,0.264090909090909
32,253374.0,2696.0,True,0.551519886363636,"rgb(255,28,0)",6,mshoni,tailor,0.291363636363636
33,259791.0,1828.0,True,0.286427556818181,"rgb(255,255,0)",9,ziwa,lake,0.236818181818181
34,264680.0,2106.0,False,0.272791193181818,"rgb(198,255,0)",7,tumbili,monkey,0.223181818181818
35,269890.0,2623.0,True,0.5761292613636361,"rgb(255,28,0)",6,mshoni,tailor,0.291363636363636
36,276285.0,4778.0,False,0.30499999999999994,"rgb(255,255,0)",2,ubini,forgery,0.305
37,284295.0,2556.0,True,0.48007102272727187,"rgb(255,28,0)",5,yamini,oath,0.277727272727272
38,289991.0,inf,True,0.582769886363636,"rgb(255,28,0)",6,mshoni,tailor,0.291363636363636
39,299279.0,4949.0,False,0.32240056818181795,"rgb(255,197,0)",3,theluji,snow,0.223181818181818
40,308652.0,1524.0,True,0.6073792613636361,"rgb(255,28,0)",6,mshoni,tailor,0.291363636363636
41,313972.0,5823.0,False,0.362919034090909,"rgb(255,197,0)",8,fumbo,mystery,0.264090909090909
42,323395.0,1406.0,True,0.6069886363636361,"rgb(255,28,0)",6,mshoni,tailor,0.291363636363636
43,328595.0,2057.0,True,0.48202414772727187,"rgb(255,28,0)",5,yamini,oath,0.277727272727272
44,334053.0,3326.0,False,0.32240056818181795,"rgb(255,197,0)",7,tumbili,monkey,0.223181818181818
45,343506.0,6851.0,False,0.3428906249999999,"rgb(255,197,0)",2,ubini,forgery,0.305
46,353315.0,1374.0,True,0.5948792613636361,"rgb(255,28,0)",6,mshoni,tailor,0.291363636363636
47,358248.0,2690.0,True,0.41252840909090893,"rgb(255,84,0)",8,fumbo,mystery,0.264090909090909
