trial,start_time,rt,correct,alpha,fact_id,question,answer,priora,colour
1,6350.0,4516.0,False,0.227727272727272,1,sala,prayer,0.227727272727272,red
2,13099.0,4011.0,True,0.305,2,ubini,forgery,0.305,blue
3,21994.0,1437.0,True,0.305,2,ubini,forgery,0.305,blue
4,26886.0,7054.0,False,0.227727272727272,1,sala,prayer,0.227727272727272,red
5,36169.0,3789.0,True,0.223181818181818,3,theluji,snow,0.223181818181818,green
6,43516.0,5295.0,True,0.132272727272727,4,iktisadi,economy,0.132272727272727,purple
7,53261.0,3597.0,True,0.277727272727272,5,yamini,oath,0.277727272727272,grey
8,60903.0,6645.0,True,0.223181818181818,3,theluji,snow,0.223181818181818,green
9,72870.0,1276.0,True,0.277727272727272,5,yamini,oath,0.277727272727272,grey
10,77756.0,3773.0,True,0.291363636363636,6,mshoni,tailor,0.291363636363636,violet
11,85793.0,3268.0,True,0.223181818181818,7,tumbili,monkey,0.223181818181818,yellow
12,92987.0,1267.0,True,0.291363636363636,6,mshoni,tailor,0.291363636363636,violet
13,98086.0,2292.0,True,0.27733664772727196,1,sala,prayer,0.227727272727272,red
14,104028.0,4964.0,True,0.264090909090909,8,fumbo,mystery,0.264090909090909,pink
15,113891.0,1571.0,True,0.223181818181818,7,tumbili,monkey,0.223181818181818,yellow
16,119135.0,3238.0,True,0.264090909090909,8,fumbo,mystery,0.264090909090909,pink
17,126386.0,10247.0,False,0.255390625,2,ubini,forgery,0.305,blue
18,138865.0,2259.0,True,0.272791193181818,3,theluji,snow,0.223181818181818,green
19,144736.0,5296.0,True,0.236818181818181,9,ziwa,lake,0.236818181818181,cyan
20,153529.0,10212.0,True,0.055,10,mbwa,dog,0.055,orange
21,167636.0,1400.0,True,0.313700284090909,8,fumbo,mystery,0.264090909090909,pink
22,172760.0,1467.0,True,0.236818181818181,9,ziwa,lake,0.236818181818181,cyan
23,178397.0,7998.0,True,0.186818181818181,11,nyanya,tomato,0.186818181818181,red
24,191051.0,3797.0,True,0.227727272727272,12,rafiki,friend,0.227727272727272,blue
25,198703.0,3374.0,True,0.24590909090909,13,pafu,lung,0.24590909090909,green
26,205354.0,2577.0,True,0.30499999999999994,2,ubini,forgery,0.305,blue
27,212697.0,1811.0,True,0.24590909090909,13,pafu,lung,0.24590909090909,green
28,217728.0,1308.0,True,0.227727272727272,12,rafiki,friend,0.227727272727272,blue
29,222563.0,6001.0,True,0.268636363636363,14,paji,forehead,0.268636363636363,purple
30,232748.0,8081.0,True,0.273181818181818,15,mfupa,bone,0.273181818181818,grey
31,244721.0,1625.0,True,0.268636363636363,14,paji,forehead,0.268636363636363,purple
