green-red
trial,start_time,rt,correct,alpha,bgcol,fact_id,question,answer,priora
62,616785.0,5625.0,False,0.132272727272727,"rgb(29,255,0)",4,iktisadi,economy,0.132272727272727
63,627416.0,5063.0,True,0.268636363636363,"rgb(198,255,0)",14,paji,forehead,0.268636363636363
64,641938.0,1692.0,True,0.518387784090909,"rgb(255,28,0)",8,fumbo,mystery,0.264090909090909
65,650538.0,1081.0,True,0.268636363636363,"rgb(198,255,0)",14,paji,forehead,0.268636363636363
66,655865.0,inf,True,0.315617897727272,"rgb(255,255,0)",5,yamini,oath,0.277727272727272
67,667064.0,1814.0,False,0.3876349431818179,"rgb(255,141,0)",7,tumbili,monkey,0.223181818181818
68,674866.0,3051.0,True,0.273181818181818,"rgb(198,255,0)",15,mfupa,bone,0.273181818181818
69,687372.0,1483.0,True,0.46945312500000014,"rgb(255,28,0)",2,ubini,forgery,0.305
70,693762.0,1161.0,True,0.273181818181818,"rgb(198,255,0)",15,mfupa,bone,0.273181818181818
71,698178.0,2198.0,True,0.255,"rgb(198,255,0)",16,jani,leaf,0.255
72,707984.0,4751.0,True,0.277727272727272,"rgb(198,255,0)",17,jibini,cheese,0.277727272727272
73,720772.0,3968.0,False,0.255,"rgb(198,255,0)",16,jani,leaf,0.255
74,729865.0,1546.0,True,0.277727272727272,"rgb(198,255,0)",17,jibini,cheese,0.277727272727272
75,735034.0,4569.0,False,0.41224431818181795,"rgb(255,84,0)",7,tumbili,monkey,0.223181818181818
76,745674.0,7179.0,False,0.23642755681818098,"rgb(198,255,0)",11,nyanya,tomato,0.186818181818181
77,757326.0,9979.0,True,0.4618536931818179,"rgb(255,28,0)",7,tumbili,monkey,0.223181818181818
78,775745.0,1575.0,True,0.30460937499999996,"rgb(255,255,0)",16,jani,leaf,0.255
79,780977.0,1854.0,True,0.46877840909090907,"rgb(255,28,0)",8,fumbo,mystery,0.264090909090909
80,786908.0,3749.0,False,0.34022727272727205,"rgb(255,197,0)",5,yamini,oath,0.277727272727272
81,794621.0,inf,False,0.47865056818181795,"rgb(255,28,0)",7,tumbili,monkey,0.223181818181818
82,812358.0,6215.0,False,0.431207386363636,"rgb(255,84,0)",6,mshoni,tailor,0.291363636363636
83,827681.0,inf,False,0.22772727272727197,"rgb(142,255,0)",1,sala,prayer,0.227727272727272
84,846284.0,2861.0,True,0.4907599431818179,"rgb(255,28,0)",7,tumbili,monkey,0.223181818181818
85,853054.0,2834.0,True,0.286036931818181,"rgb(255,255,0)",11,nyanya,tomato,0.186818181818181
86,859832.0,10574.0,True,0.223181818181818,"rgb(142,255,0)",3,theluji,snow,0.223181818181818
87,873826.0,3703.0,False,0.5036505681818179,"rgb(255,28,0)",7,tumbili,monkey,0.223181818181818
88,881759.0,3082.0,True,0.286818181818181,"rgb(255,255,0)",18,hadithi,story,0.286818181818181
89,896501.0,3013.0,True,0.5532599431818179,"rgb(255,28,0)",7,tumbili,monkey,0.223181818181818
90,903365.0,1627.0,True,0.286818181818181,"rgb(255,255,0)",18,hadithi,story,0.286818181818181
91,909876.0,1916.0,True,0.5809943181818179,"rgb(255,28,0)",7,tumbili,monkey,0.223181818181818
92,915696.0,3374.0,False,0.354680397727272,"rgb(255,197,0)",5,yamini,oath,0.277727272727272

