id,start_time,rt,correct,alpha,fact_id,question,answer,priora,colour,pt
1,24832.095999998273,2152.045900002122,True,0.22811789772727198,5,yamini,oath,0.277727272727272,NA,0
2,28656.691600001068,2713.2682999945246,True,0.18681818181818102,19,sumu,poison,0.18681818181818102,NA,0
3,33668.50559999875,1108.9892000018153,True,0.227727272727272,12,rafiki,friend,0.227727272727272,NA,0
4,36654.68669999973,1491.0878000082448,True,0.24590909090909,32,adui,enemy,0.24590909090909,NA,0
5,40030.450699996436,1396.0409999999683,True,0.28681818181818103,41,kamba,rope,0.28681818181818103,NA,0
6,42819.699900006526,1469.0630999975838,True,0.23720880681818102,23,lawama,blame,0.28681818181818103,NA,0
7,45720.89050000068,1705.756499999552,True,0.268636363636363,36,dalasini,cinnamon,0.268636363636363,NA,0
8,49909.125699996366,16133.651399999508,False,0.055,10,mbwa,dog,0.055,NA,0
9,66253.2355000003,5313.447399996221,True,0.27772727272727205,17,jibini,cheese,0.277727272727272,NA,0
10,73770.97520000825,1384.948599996278,True,0.141363636363636,21,yai,egg,0.141363636363636,NA,0
11,76455.62059999793,1399.336200003745,True,0.205,37,kaa,crab,0.205,NA,0
12,79651.91319999576,1541.783900000155,True,0.31824573863636296,38,ambo,glue,0.268636363636363,NA,0
13,82483.49460000463,1308.1603000027826,True,0.24175426136363604,6,mshoni,tailor,0.291363636363636,NA,0
14,86038.11120000319,1013.1462999997893,False,0.24551846590909,29,roho,soul,0.19590909090909,NA,0
15,88736.12980000325,1847.655699995812,True,0.24629971590909006,27,ladha,flavor,0.29590909090909007,NA,0
16,92717.84719999414,1189.6744000114268,True,0.21902698863636305,20,nanga,anchor,0.268636363636363,NA,0
17,95510.75440000568,2438.3262999908766,True,0.255,16,jani,leaf,0.255,NA,0
18,98893.34890000464,1211.0098999983165,True,0.132272727272727,4,iktisadi,economy,0.132272727272727,NA,0
19,102214.57130000636,inf,True,0.18720880681818103,9,ziwa,lake,0.236818181818181,NA,0
20,105455.11730000726,1293.3799999882467,True,0.21902698863636305,28,bandari,harbor,0.268636363636363,NA,0
21,108166.08660000202,4353.510899993125,True,0.214090909090909,24,rembo,ornament,0.214090909090909,NA,0
22,115499.35779999942,1738.249200003338,True,0.292961647727272,35,talaka,divorce,0.277727272727272,NA,0
23,119933.36150000687,1313.5516999900574,True,0.26068181818181796,3,theluji,snow,0.22318181818181798,NA,0
24,122569.77000000188,1406.6463000053773,True,0.314446022727272,1,sala,prayer,0.227727272727272,NA,0
25,126403.19620000082,1806.4905000064755,True,0.259154829545454,26,farasi,horse,0.20954545454545398,NA,0
26,130163.69470000791,3353.820199990878,True,0.340546875,2,ubini,forgery,0.305,NA,0
27,135618.11160000798,1320.934399991529,True,0.19629971590909,13,pafu,lung,0.24590909090909,NA,0
28,138194.65059999493,4133.664400011185,True,0.277727272727272,40,kasuku,parrot,0.277727272727272,NA,0
29,144150.29649999633,1233.795000007376,True,0.26409090909090904,8,fumbo,mystery,0.264090909090909,NA,0
30,147135.42819999566,1828.4368000022369,True,0.32279119318181804,34,sahani,plate,0.27318181818181797,NA,0
31,150297.64129999967,3036.897099998896,True,0.27772727272727205,22,rushwa,bribe,0.277727272727272,NA,0
32,155442.7008000057,3644.296200000099,True,0.22318181818181798,7,tumbili,monkey,0.22318181818181798,NA,0
33,160918.29250000592,6719.625699988683,True,0.263061079545454,31,nira,yoke,0.25954545454545397,NA,0
34,168840.9701000055,25495.437299992773,False,0.18681818181818102,11,nyanya,tomato,0.18681818181818102,NA,0
35,194546.65810000733,3226.792099987506,True,0.11409090909090899,30,wingu,cloud,0.11409090909090899,NA,0
36,199181.2659999996,1448.8570999965305,True,0.25954545454545397,39,lozi,almond,0.25954545454545397,NA,0
37,202185.07099999988,2207.74650000385,True,0.23699573863636295,25,pipa,barrel,0.218636363636363,NA,0
38,206168.6347000068,1446.9525999884354,True,0.23720880681818102,18,hadithi,story,0.28681818181818103,NA,0
39,210335.47689999978,2340.7168999983696,True,0.2712286931818181,15,mfupa,bone,0.27318181818181797,NA,0
40,213845.2743999951,3023.1162999989465,True,0.25954545454545397,33,wakili,agent,0.25954545454545397,NA,0
41,218669.09470000246,1226.3805999973556,True,0.21902698863636305,14,paji,forehead,0.268636363636363,NA,0

42,221538.9387000032,3731.981099990662,True,0.11409090909090899,30,wingu,cloud,0.11409090909090899,orange,1
43,232389.06850000785,1588.725899986457,True,0.141363636363636,21,yai,egg,0.141363636363636,red,1
44,235213.49799999734,1081.3812999986112,True,0.27772727272727205,17,jibini,cheese,0.277727272727272,yellow,1
45,237718.04760000668,1139.879899987136,True,0.26068181818181796,3,theluji,snow,0.22318181818181798,green,1
46,240051.47130000114,1297.8650000004563,True,0.268636363636363,36,dalasini,cinnamon,0.268636363636363,violet,1
47,243267.50899999752,1294.499600000563,True,0.28681818181818103,41,kamba,rope,0.28681818181818103,red,1
48,245741.37659999542,1055.2560000069207,True,0.205,37,kaa,crab,0.205,yellow,1
49,248157.07240000484,1324.3984000000637,True,0.25954545454545397,33,wakili,agent,0.25954545454545397,green,1
50,251278.89590000268,1309.2442999914056,True,0.32279119318181804,34,sahani,plate,0.27318181818181797,purple,1
51,253771.91320000566,1162.6007000013487,True,0.27772727272727205,22,rushwa,bribe,0.277727272727272,blue,1
52,256154.9442999967,1071.6799000074388,True,0.24175426136363604,6,mshoni,tailor,0.291363636363636,violet,1
53,259153.91530000488,1027.741400001105,True,0.21902698863636305,20,nanga,anchor,0.268636363636363,orange,1
54,261793.46319999604,25290.10540001036,False,0.18681818181818102,11,nyanya,tomato,0.18681818181818102,red,1
55,287293.8914999977,1104.313900010311,True,0.23720880681818102,18,hadithi,story,0.28681818181818103,pink,1
56,290053.29260000144,1625.6409000052372,True,0.31824573863636296,38,ambo,glue,0.268636363636363,pink,1
57,292904.6546000027,1218.5956000030274,True,0.24629971590909006,27,ladha,flavor,0.29590909090909007,yellow,1
58,296807.08169999707,1132.7739999978803,True,0.26409090909090904,8,fumbo,mystery,0.264090909090909,pink,1
59,299817.60660000145,1321.3295000023209,True,0.214090909090909,24,rembo,ornament,0.214090909090909,purple,1
60,303487.4526000058,1830.028399999719,True,0.132272727272727,4,iktisadi,economy,0.132272727272727,purple,1
61,309198.90529999975,1074.6976000082213,True,0.314446022727272,1,sala,prayer,0.227727272727272,red,1
62,311836.20930000325,1729.0074999909848,True,0.259154829545454,26,farasi,horse,0.20954545454545398,violet,1
63,314946.2014000019,1473.8225000037346,True,0.292961647727272,35,talaka,divorce,0.277727272727272,grey,1
64,318240.25370000163,1443.111200002022,True,0.24590909090909,32,adui,enemy,0.24590909090909,blue,1
65,321482.2595000005,1290.9031000017421,True,0.24551846590909,29,roho,soul,0.19590909090909,cyan,1
66,324412.373500003,1496.3466000044718,True,0.277727272727272,40,kasuku,parrot,0.277727272727272,orange,1
67,327816.5663999971,1148.7288000062108,True,0.25954545454545397,39,lozi,almond,0.25954545454545397,cyan,1
68,330709.9107999966,25225.085099998978,False,0.055,10,mbwa,dog,0.055,orange,1
69,358312.2849000065,1594.8075999913272,True,0.263061079545454,31,nira,yoke,0.25954545454545397,red,1
70,362684.4166999945,1444.6053000137908,True,0.21902698863636305,28,bandari,harbor,0.268636363636363,pink,1
71,365937.1705999947,1398.1313000113005,True,0.18681818181818102,19,sumu,poison,0.18681818181818102,cyan,1
72,369148.07019999716,1463.6037000018405,True,0.255,16,jani,leaf,0.255,violet,1
73,371895.85349999834,2141.8471000069985,True,0.23699573863636295,25,pipa,barrel,0.218636363636363,grey,1
74,376066.5503000055,1307.3031999956584,True,0.2712286931818181,15,mfupa,bone,0.27318181818181797,grey,1
75,378500.0302999979,1490.2739000099245,True,0.23720880681818102,23,lawama,blame,0.28681818181818103,green,1
