id,start_time,rt,correct,alpha,fact_id,question,answer,priora,pt
1,24758.28320000437,5670.646099999431,True,0.24590909090909,pafu,lung,13,0.24590909090909,1
2,31976.31850000471,1309.4008000043686,True,0.24629971590909006,ladha,flavor,27,0.29590909090909007,1
3,34463.308200007305,2361.5203999943333,True,0.25954545454545397,nira,yoke,31,0.25954545454545397,1
4,37615.724600007525,1215.515999996569,True,0.22811789772727198,rushwa,bribe,22,0.277727272727272,1
5,39881.8459000031,2204.9702999938745,True,0.2860724431818181,mfupa,bone,15,0.27318181818181797,1
6,42895.74210000865,1408.6645999923348,True,0.055,mbwa,dog,10,0.055,1
7,44986.86250000901,2165.930599992862,True,0.277727272727272,talaka,divorce,35,0.277727272727272,1
8,48611.421800000244,1470.900400003302,True,0.23720880681818102,lawama,blame,23,0.28681818181818103,1
9,50967.99340000143,1881.3259000016842,True,0.22318181818181798,tumbili,monkey,7,0.22318181818181798,1
10,54054.25820000528,1283.9805999974487,True,0.309865056818181,nyanya,tomato,11,0.18681818181818102,1
11,56664.78880000068,1343.5331000073347,True,0.3307457386363629,bandari,harbor,28,0.268636363636363,1
12,59134.33929999883,3701.549300007173,True,0.18681818181818102,sumu,poison,19,0.18681818181818102,1
13,64845.576799998526,1174.695800000336,True,0.19590909090909,roho,soul,29,0.19590909090909,1
14,67081.500100001,2441.7151999950875,True,0.268636363636363,dalasini,cinnamon,36,0.268636363636363,1
15,71282.42240000691,1469.2208999913419,True,0.25954545454545397,wakili,agent,33,0.25954545454545397,1
16,73769.12270000321,1815.8473999937996,True,0.21902698863636305,paji,forehead,14,0.268636363636363,1
17,79373.61520000559,1368.1097999942722,True,0.141363636363636,yai,egg,21,0.141363636363636,1
18,81679.53530000523,3828.1316999928094,True,0.268636363636363,ambo,glue,38,0.268636363636363,1
19,86599.34990000329,1411.9519999949262,True,0.2892684659090901,adui,enemy,32,0.24590909090909,1
20,89389.59930000419,1825.5760000029113,True,0.20954545454545398,farasi,horse,26,0.20954545454545398,1
21,92355.595800007,3674.8300999897765,True,0.132272727272727,iktisadi,economy,4,0.132272727272727,1
22,99126.91930000437,1449.2272999923443,True,0.4234303977272721,yamini,oath,5,0.277727272727272,1
23,101772.81300000323,3318.124600002193,True,0.34608664772727193,jibini,cheese,17,0.277727272727272,1
24,106287.17579999648,1241.0090000048513,True,0.3668252840909089,fumbo,mystery,8,0.264090909090909,1
25,109546.36259999825,2564.043899998069,True,0.27318181818181797,sahani,plate,34,0.27318181818181797,1
26,113844.40060000634,1825.1802000013413,True,0.11409090909090899,wingu,cloud,30,0.11409090909090899,1
27,116675.91950000497,inf,True,0.205,kaa,crab,37,0.205,1
28,120867.03500000294,1394.5123000012245,True,0.28681818181818103,hadithi,story,18,0.28681818181818103,1
29,123772.94219999749,2016.1576000100467,True,0.3412926136363631,nanga,anchor,20,0.268636363636363,1
30,127018.39630000177,1425.607500001206,True,0.27612926136363597,mshoni,tailor,6,0.291363636363636,1
31,130840.35759999824,2895.8832000062102,True,0.218636363636363,pipa,barrel,25,0.218636363636363,1
32,135156.00390000327,1112.3331999988295,True,0.255,jani,leaf,16,0.255,1
33,136979.62290000578,1218.0766999954358,True,0.17811789772727202,sala,prayer,1,0.227727272727272,1
