trial,start_time,rt,correct,alpha,fact_id,question,answer,priora
81,500183.0,1616.0,True,0.36710937499999996,2,ubini,forgery,0.305
82,504917.0,2239.0,False,0.5128835227272721,5,yamini,oath,0.277727272727272
83,512253.0,1336.0,True,0.5545738636363631,14,paji,forehead,0.268636363636363
84,516827.0,2022.0,True,0.340582386363636,6,mshoni,tailor,0.291363636363636
85,521996.0,1405.0,False,0.523856534090909,8,fumbo,mystery,0.264090909090909
86,526218.0,6450.0,False,0.3487499999999999,16,jani,leaf,0.255
87,535458.0,1920.0,True,0.5351491477272722,5,yamini,oath,0.277727272727272
88,540189.0,1452.0,True,0.27353693181818095,11,nyanya,tomato,0.186818181818181
89,544854.0,inf,True,0.31068181818181806,15,mfupa,bone,0.273181818181818
90,553034.0,1149.0,True,0.277727272727272,17,jibini,cheese,0.277727272727272
91,557469.0,2468.0,False,0.39835937499999985,16,jani,leaf,0.255
92,562815.0,3484.0,False,0.277727272727272,17,jibini,cheese,0.277727272727272
93,568533.0,3116.0,False,0.5347585227272722,5,yamini,oath,0.277727272727272
94,575793.0,1176.0,False,0.524247159090909,8,fumbo,mystery,0.264090909090909
95,579965.0,inf,True,0.4479687499999998,16,jani,leaf,0.255
96,585451.0,1917.0,True,0.5738565340909091,8,fumbo,mystery,0.264090909090909
97,591888.0,inf,True,0.5640553977272722,5,yamini,oath,0.277727272727272
98,598925.0,2002.0,True,0.504964488636363,14,paji,forehead,0.268636363636363
99,604060.0,inf,True,0.6074147727272723,5,yamini,oath,0.277727272727272
100,610880.0,7668.0,True,0.327336647727272,17,jibini,cheese,0.277727272727272
101,621678.0,1820.0,True,0.6320241477272723,5,yamini,oath,0.277727272727272
102,626531.0,8231.0,True,0.360291193181818,15,mfupa,bone,0.273181818181818
103,637405.0,2498.0,True,0.5734659090909091,8,fumbo,mystery,0.264090909090909
104,643697.0,4215.0,True,0.6316335227272724,5,yamini,oath,0.277727272727272
105,650706.0,7259.0,True,0.4553906249999998,16,jani,leaf,0.255
106,660901.0,3209.0,True,0.6687428977272724,5,yamini,oath,0.277727272727272
107,666998.0,3410.0,True,0.37694602272727196,17,jibini,cheese,0.277727272727272
108,673512.0,1688.0,True,0.7167897727272724,5,yamini,oath,0.277727272727272
109,678148.0,2334.0,True,0.5049999999999999,16,jani,leaf,0.255
110,683192.0,1279.0,True,0.7163991477272724,5,yamini,oath,0.277727272727272
111,687276.0,3367.0,True,0.40990056818181797,15,mfupa,bone,0.273181818181818
112,693491.0,inf,True,0.36732244318181795,7,tumbili,monkey,0.223181818181818
113,703192.0,inf,True,0.4265553977272719,17,jibini,cheese,0.277727272727272
114,711298.0,2051.0,True,0.5613565340909091,8,fumbo,mystery,0.264090909090909
115,716798.0,1114.0,True,0.6667897727272724,5,yamini,oath,0.277727272727272
116,720613.0,2329.0,True,0.5046093749999999,16,jani,leaf,0.255
117,725547.0,4548.0,True,0.33340909090909,13,pafu,lung,0.24590909090909
118,732893.0,1591.0,True,0.432947443181818,15,mfupa,bone,0.273181818181818
119,737227.0,2619.0,True,0.36124999999999996,2,ubini,forgery,0.305
120,743025.0,1213.0,True,0.236818181818181,9,ziwa,lake,0.236818181818181
121,746864.0,2743.0,True,0.43319602272727187,17,jibini,cheese,0.277727272727272
122,752583.0,2080.0,True,0.5554971590909091,8,fumbo,mystery,0.264090909090909
123,758002.0,1740.0,True,0.5042187499999999,16,jani,leaf,0.255
124,762406.0,inf,True,0.39036931818181797,7,tumbili,monkey,0.223181818181818
125,769791.0,1522.0,True,0.6171803977272723,5,yamini,oath,0.277727272727272
126,774584.0,14879.0,False,0.38301846590908994,13,pafu,lung,0.24590909090909
127,792775.0,3130.0,True,0.17811789772727202,1,sala,prayer,0.227727272727272
128,798930.0,2266.0,True,0.45535511363636305,14,paji,forehead,0.268636363636363
129,804833.0,inf,True,0.43358664772727185,17,jibini,cheese,0.277727272727272
130,814975.0,2609.0,True,0.5426065340909091,8,fumbo,mystery,0.264090909090909
131,820983.0,inf,True,0.414978693181818,7,tumbili,monkey,0.223181818181818
132,829446.0,2069.0,True,0.411463068181818,15,mfupa,bone,0.273181818181818
133,834272.0,1663.0,False,0.4796093749999999,16,jani,leaf,0.255
