trial,start_time,rt,correct,alpha,fact_id,question,answer,priora,colour
1,59953.0,1883.0,True,0.227727272727272,1,sala,prayer,0.227727272727272,red
2,67767.0,1812.0,True,0.305,2,ubini,forgery,0.305,blue
3,74270.0,1021.0,True,0.305,2,ubini,forgery,0.305,blue
4,78935.0,853.0,True,0.227727272727272,1,sala,prayer,0.227727272727272,red
5,83161.0,2434.0,True,0.223181818181818,3,theluji,snow,0.223181818181818,green
6,88473.0,2394.0,True,0.132272727272727,4,iktisadi,economy,0.132272727272727,purple
7,95790.0,1870.0,True,0.277727272727272,5,yamini,oath,0.277727272727272,grey
8,101489.0,2160.0,True,0.291363636363636,6,mshoni,tailor,0.291363636363636,violet
9,107975.0,1505.0,True,0.277727272727272,5,yamini,oath,0.277727272727272,grey
10,112529.0,2769.0,True,0.291363636363636,6,mshoni,tailor,0.291363636363636,violet
11,118590.0,1148.0,True,0.223181818181818,3,theluji,snow,0.223181818181818,green
12,122495.0,2168.0,False,0.223181818181818,7,tumbili,monkey,0.223181818181818,yellow
13,127761.0,1542.0,True,0.264090909090909,8,fumbo,mystery,0.264090909090909,pink
14,135306.0,1541.0,True,0.236818181818181,9,ziwa,lake,0.236818181818181,cyan
15,140402.0,1124.0,True,0.264090909090909,8,fumbo,mystery,0.264090909090909,pink
16,145178.0,1308.0,False,0.340973011363636,6,mshoni,tailor,0.291363636363636,violet
17,150019.0,5422.0,True,0.223181818181818,7,tumbili,monkey,0.223181818181818,yellow
18,158923.0,2868.0,False,0.236818181818181,9,ziwa,lake,0.236818181818181,cyan
19,165577.0,1996.0,True,0.055,10,mbwa,dog,0.055,orange
20,170943.0,2613.0,True,0.39058238636363596,6,mshoni,tailor,0.291363636363636,violet
21,177385.0,inf,False,0.255390625,2,ubini,forgery,0.305,blue
22,185670.0,2625.0,True,0.186818181818181,11,nyanya,tomato,0.186818181818181,red
23,192099.0,2325.0,True,0.4347230113636359,6,mshoni,tailor,0.291363636363636,violet
24,197714.0,1364.0,True,0.227727272727272,12,rafiki,friend,0.227727272727272,blue
25,202812.0,1398.0,True,0.24590909090909,13,pafu,lung,0.24590909090909,green
26,208152.0,1829.0,True,0.268636363636363,14,paji,forehead,0.268636363636363,purple
27,215233.0,1066.0,True,0.24590909090909,13,pafu,lung,0.24590909090909,green
28,219502.0,1182.0,True,0.268636363636363,14,paji,forehead,0.268636363636363,purple
29,226488.0,911.0,True,0.227727272727272,12,rafiki,friend,0.227727272727272,blue
30,230723.0,930.0,True,0.286427556818181,9,ziwa,lake,0.236818181818181,cyan
31,234399.0,1076.0,True,0.44683238636363587,6,mshoni,tailor,0.291363636363636,violet
32,238570.0,3037.0,False,0.272791193181818,7,tumbili,monkey,0.223181818181818,yellow
33,247953.0,6346.0,False,0.186818181818181,11,nyanya,tomato,0.186818181818181,red
