trial,start_time,rt,correct,alpha,fact_id,question,answer,priora,colour
1,11379.0,1654.0,True,0.227727272727272,1,sala,prayer,0.227727272727272,red
2,19559.0,1636.0,True,0.305,2,ubini,forgery,0.305,blue
3,25409.0,1106.0,True,0.305,2,ubini,forgery,0.305,blue
4,30260.0,1229.0,True,0.227727272727272,1,sala,prayer,0.227727272727272,red
5,35372.0,1552.0,True,0.223181818181818,3,theluji,snow,0.223181818181818,green
6,41943.0,1055.0,True,0.132272727272727,4,iktisadi,economy,0.132272727272727,purple
7,47962.0,1093.0,True,0.277727272727272,5,yamini,oath,0.277727272727272,grey
8,52477.0,1214.0,True,0.291363636363636,6,mshoni,tailor,0.291363636363636,violet
9,57548.0,3460.0,False,0.277727272727272,5,yamini,oath,0.277727272727272,grey
10,63231.0,5852.0,False,0.291363636363636,6,mshoni,tailor,0.291363636363636,violet
11,71314.0,1939.0,False,0.223181818181818,3,theluji,snow,0.223181818181818,green
12,76299.0,2391.0,True,0.223181818181818,7,tumbili,monkey,0.223181818181818,yellow
13,84998.0,822.0,True,0.264090909090909,8,fumbo,mystery,0.264090909090909,pink
14,90097.0,1140.0,False,0.340973011363636,6,mshoni,tailor,0.291363636363636,violet
15,96564.0,1621.0,False,0.327336647727272,5,yamini,oath,0.277727272727272,grey
16,101156.0,inf,False,0.264090909090909,8,fumbo,mystery,0.264090909090909,pink
17,109188.0,2490.0,False,0.223181818181818,7,tumbili,monkey,0.223181818181818,yellow
18,115390.0,977.0,False,0.39058238636363596,6,mshoni,tailor,0.291363636363636,violet
19,119403.0,1717.0,True,0.236818181818181,9,ziwa,lake,0.236818181818181,cyan
20,124369.0,2773.0,False,0.255390625,2,ubini,forgery,0.305,blue
21,130596.0,1110.0,False,0.37694602272727196,5,yamini,oath,0.277727272727272,grey
22,135028.0,2817.0,False,0.4401917613636359,6,mshoni,tailor,0.291363636363636,violet
23,140831.0,4448.0,False,0.236818181818181,9,ziwa,lake,0.236818181818181,cyan
24,149425.0,3418.0,False,0.313700284090909,8,fumbo,mystery,0.264090909090909,pink
25,155938.0,1961.0,True,0.48980113636363587,6,mshoni,tailor,0.291363636363636,violet
26,161095.0,6724.0,True,0.4265553977272719,5,yamini,oath,0.277727272727272,grey
27,170670.0,4468.0,False,0.272791193181818,3,theluji,snow,0.223181818181818,green
28,178341.0,1055.0,False,0.47616477272727187,5,yamini,oath,0.277727272727272,grey
29,182519.0,inf,True,0.4894105113636359,6,mshoni,tailor,0.291363636363636,violet
30,191429.0,inf,False,0.36330965909090895,8,fumbo,mystery,0.264090909090909,pink
31,199106.0,inf,False,0.539019886363636,6,mshoni,tailor,0.291363636363636,violet
32,205256.0,6634.0,False,0.5078053977272718,5,yamini,oath,0.277727272727272,grey
33,218147.0,1519.0,True,0.588629261363636,6,mshoni,tailor,0.291363636363636,violet
34,222900.0,2557.0,False,0.272791193181818,7,tumbili,monkey,0.223181818181818,yellow
35,228416.0,3737.0,True,0.286427556818181,9,ziwa,lake,0.236818181818181,cyan
36,234918.0,inf,True,0.4129190340909089,8,fumbo,mystery,0.264090909090909,pink
37,245507.0,1550.0,False,0.588238636363636,6,mshoni,tailor,0.291363636363636,violet
38,249901.0,4416.0,False,0.5081960227272718,5,yamini,oath,0.277727272727272,grey
39,258430.0,inf,False,0.6284730113636362,6,mshoni,tailor,0.291363636363636,violet
40,269800.0,4112.0,False,0.5578053977272719,5,yamini,oath,0.277727272727272,grey
41,277230.0,inf,True,0.6765198863636362,6,mshoni,tailor,0.291363636363636,violet
42,284946.0,1390.0,True,0.607414772727272,5,yamini,oath,0.277727272727272,grey
43,289206.0,892.0,True,0.6823792613636362,6,mshoni,tailor,0.291363636363636,violet
44,293227.0,1378.0,True,0.46252840909090887,8,fumbo,mystery,0.264090909090909,pink
45,298183.0,1818.0,False,0.30499999999999994,2,ubini,forgery,0.305,blue
46,302774.0,1622.0,True,0.6773011363636363,6,mshoni,tailor,0.291363636363636,violet
47,308125.0,4607.0,False,0.607024147727272,5,yamini,oath,0.277727272727272,grey
48,315492.0,1071.0,False,0.32240056818181795,3,theluji,snow,0.223181818181818,green
49,319558.0,1473.0,True,0.6769105113636363,6,mshoni,tailor,0.291363636363636,violet
50,324146.0,1805.0,True,0.619133522727272,5,yamini,oath,0.277727272727272,grey
51,328857.0,1106.0,True,0.33603693181818095,9,ziwa,lake,0.236818181818181,cyan
52,332657.0,5229.0,False,0.32240056818181795,7,tumbili,monkey,0.223181818181818,yellow
53,341606.0,1608.0,True,0.4496377840909088,8,fumbo,mystery,0.264090909090909,pink
54,347255.0,1955.0,False,0.35382812499999994,2,ubini,forgery,0.305,blue
55,351971.0,2291.0,True,0.5945241477272719,5,yamini,oath,0.277727272727272,grey
56,357096.0,10205.0,False,0.6273011363636363,6,mshoni,tailor,0.291363636363636,violet
57,370162.0,11420.0,False,0.3602911931818179,3,theluji,snow,0.223181818181818,green
58,385195.0,3184.0,True,0.6276917613636362,6,mshoni,tailor,0.291363636363636,violet
59,391535.0,4083.0,True,0.5824147727272718,5,yamini,oath,0.277727272727272,grey
60,399602.0,2879.0,False,0.6773011363636363,6,mshoni,tailor,0.291363636363636,violet
61,405213.0,3572.0,False,0.3579474431818179,7,tumbili,monkey,0.223181818181818,yellow
62,412656.0,3408.0,False,0.6839417613636363,6,mshoni,tailor,0.291363636363636,violet
63,418810.0,2213.0,True,0.5828053977272718,5,yamini,oath,0.277727272727272,grey
